step	dice_multi
0	0.4959755124821738
1	0.8065939112588126
2	0.8185570825013087
3	0.8716232880956043
4	0.9065033912785891
5	0.9031968148411915
6	0.9125901228147486
7	0.9154618598069881
8	0.9153064057801488
