step	loss
0	0.27655529975891113
1	0.053682971745729446
2	0.04353414848446846
3	0.03899112716317177
4	0.03434445336461067
5	0.03109765611588955
6	0.02836991287767887
7	0.026283586397767067
8	0.02458229660987854
